"Network","Module","GeneSymbol","EnsemblID","kME"
"Unsigned","yellow","KIF2C","ENSG00000142945.13",0.902
"Unsigned","pink","APOBEC4","ENSG00000173627.8",0.8812
"Unsigned","pink","CFAP107","ENSG00000157330.10",0.8536
"Unsigned","pink","TEKT1","ENSG00000167858.13",0.8474
"Unsigned","pink","ZBBX","ENSG00000169064.13",0.8404
"Unsigned","pink","WDR38","ENSG00000136918.8",0.8377
"Unsigned","pink","CDHR4","ENSG00000187492.9",0.831
"Unsigned","pink","CDC20B","ENSG00000164287.13",0.8219
"Unsigned","pink","AKAP14","ENSG00000186471.13",0.8208
"Unsigned","pink","MAP3K19","ENSG00000176601.13",0.8205
"Unsigned","pink","CIMIP1","ENSG00000124237.6",0.8161
"Unsigned","pink","FOXN4","ENSG00000139445.18",0.7987
"Unsigned","pink","ADGB","ENSG00000118492.17",0.7968
"Unsigned","pink","KNCN","ENSG00000162456.10",0.7944
"Unsigned","pink","DNAAF6","ENSG00000080572.13",0.7919
"Unsigned","pink","ROPN1L","ENSG00000145491.12",0.7813
"Unsigned","pink","TUBA4B","ENSG00000243910.8",0.7739
"Unsigned","pink","CFAP276","ENSG00000179902.13",0.7721
"Unsigned","pink","CFAP141","ENSG00000163263.7",0.7652
"Unsigned","pink","C7orf57","ENSG00000164746.14",0.7521
"Unsigned","pink","FOXJ1","ENSG00000129654.8",0.75
"Unsigned","brown","SAC3D1","ENSG00000168061.17",0.8446
"Unsigned","brown","MRPL55","ENSG00000162910.19",0.8373
"Unsigned","brown","PAXX","ENSG00000148362.11",0.8297
"Unsigned","brown","HSPBP1","ENSG00000133265.11",0.8265
"Unsigned","brown","TIMM17B","ENSG00000126768.12",0.8232
"Unsigned","brown","COPE","ENSG00000105669.14",0.8231
"Unsigned","brown","LSM4","ENSG00000130520.11",0.822
"Unsigned","brown","ANAPC11","ENSG00000141552.18",0.8216
"Unsigned","brown","POP7","ENSG00000172336.5",0.821
"Unsigned","brown","METTL26","ENSG00000130731.16",0.8206
"Unsigned","brown","EXOSC4","ENSG00000178896.9",0.8183
"Unsigned","brown","RPUSD1","ENSG00000007376.8",0.8179
"Unsigned","brown","ROMO1","ENSG00000125995.16",0.8166
"Unsigned","brown","C1orf35","ENSG00000143793.13",0.8158
"Unsigned","brown","FAT4","ENSG00000196159.14",-0.8135
"Unsigned","brown","SLC25A10","ENSG00000183048.12",0.8135
"Unsigned","brown","YDJC","ENSG00000161179.14",0.8128
"Unsigned","brown","MRPS34","ENSG00000074071.15",0.8109
"Unsigned","brown","PSMG3","ENSG00000157778.9",0.809
"Unsigned","brown","FAM174C","ENSG00000228300.14",0.8088
"Unsigned","green","MAML2","ENSG00000184384.14",-0.8699
"Unsigned","green","CCDC82","ENSG00000149231.15",-0.8451
"Unsigned","green","HYCC1","ENSG00000122591.12",-0.8413
"Unsigned","green","PIGQ","ENSG00000007541.17",0.8222
"Unsigned","green","ACSL4","ENSG00000068366.20",-0.8148
"Unsigned","green","SIGIRR","ENSG00000185187.13",0.8021
"Unsigned","green","ROGDI","ENSG00000067836.13",0.8019
"Unsigned","green","FLYWCH2","ENSG00000162076.13",0.7983
"Unsigned","green","NME3","ENSG00000103024.7",0.7913
"Unsigned","green","NECAB3","ENSG00000125967.17",0.7847
"Unsigned","green","QKI","ENSG00000112531.17",-0.7804
"Unsigned","green","NUDT16L1","ENSG00000168101.14",0.7768
"Unsigned","green","CCDC24","ENSG00000159214.13",0.7734
"Unsigned","green","RAB40C","ENSG00000197562.10",0.773
"Unsigned","green","EGFR","ENSG00000146648.19",-0.7723
"Unsigned","green","DMD","ENSG00000198947.16",-0.7713
"Unsigned","green","CYRIA","ENSG00000197872.11",-0.7683
"Unsigned","green","GAMT","ENSG00000130005.13",0.7667
"Unsigned","green","FMNL2","ENSG00000157827.20",-0.7642
"Unsigned","green","PLAGL1","ENSG00000118495.20",-0.7624
